from_title,from_date,to_title,to_date,days_between,tone_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
Sea Change,2022-12-13,Lessons from Silicon Valley Bank,2023-04-17,125,0.18,-0.4295,opportunistic,constructive,warning,forecasting,politics (+3.19),"rates (-16.82), macro (-10.25), valuation (-4.85)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+3.19); less emphasis on rates (-16.82), macro (-10.25), valuation (-4.85)"
Volatility + Leverage = Dynamite,2008-12-17,The Long View,2009-01-09,23,0.18,-0.3627,opportunistic,constructive,warning,warning,"macro (+5.54), cycles (+5.36), rates (+2.90)","risk (-7.74), prediction (-0.62), valuation (-0.31)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+5.54), cycles (+5.36), rates (+2.90); less emphasis on risk (-7.74), prediction (-0.62), valuation (-0.31)"
Down to the Wire,2011-07-21,What’s Behind the Downturn?,2011-09-07,48,0.1794,0.0769,alarmed,constructive,forecasting,forecasting,"prediction (+2.47), risk (+2.38), rates (+1.68)","credit (-6.01), macro (-2.51), politics (-1.55)","stance moves from alarmed to constructive; greater emphasis on prediction (+2.47), risk (+2.38), rates (+1.68); less emphasis on credit (-6.01), macro (-2.51), politics (-1.55)"
You Can't Predict. You Can Prepare.,2001-11-20,Learning From Enron,2002-03-14,114,0.1745,0.1622,constructive,constructive,forecasting,forecasting,"risk (+0.69), politics (+0.49), uncertainty (+0.18)","macro (-11.09), cycles (-10.50), prediction (-3.64)","greater emphasis on risk (+0.69), politics (+0.49), uncertainty (+0.18); less emphasis on macro (-11.09), cycles (-10.50), prediction (-3.64)"
Taking the Temperature,2023-07-10,"Fewer Losers, or More Winners?",2023-09-12,64,0.1716,0.6987,constructive,constructive,warning,warning,"risk (+8.77), credit (+4.57), valuation (+0.99)","psychology (-5.36), cycles (-2.40), technology_ai (-1.37)","later memo is materially more constructive / bullish in tone; greater emphasis on risk (+8.77), credit (+4.57), valuation (+0.99); less emphasis on psychology (-5.36), cycles (-2.40), technology_ai (-1.37)"
What Worries Me,2008-08-28,Nobody Knows,2008-09-19,22,0.1701,-0.84,constructive,constructive,forecasting,forecasting,"risk (+5.76), cycles (+5.00), credit (+2.00)","macro (-3.10), politics (-1.47), technology_ai (-0.18)","later memo is materially more defensive / bearish in tone; greater emphasis on risk (+5.76), cycles (+5.00), credit (+2.00); less emphasis on macro (-3.10), politics (-1.47), technology_ai (-0.18)"
Doesn’t Make Sense,2008-07-31,What Worries Me,2008-08-28,28,0.1701,0.1076,opportunistic,constructive,forecasting,forecasting,"macro (+4.18), politics (+0.76), prediction (+0.39)","risk (-3.55), credit (-3.40), valuation (-1.30)","stance moves from opportunistic to constructive; greater emphasis on macro (+4.18), politics (+0.76), prediction (+0.39); less emphasis on risk (-3.55), credit (-3.40), valuation (-1.30)"
Safety First . . . But Where?,2001-04-10,"What's It All About, Alpha?",2001-07-11,92,0.1654,0.2024,opportunistic,constructive,forecasting,warning,"risk (+6.08), valuation (+1.78), credit (+1.37)","macro (-2.71), technology_ai (-2.60), cycles (-1.04)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+6.08), valuation (+1.78), credit (+1.37); less emphasis on macro (-2.71), technology_ai (-2.60), cycles (-1.04)"
Something of Value,2021-01-11,2020 in Review,2021-03-04,52,0.1629,0.3309,opportunistic,opportunistic,forecasting,forecasting,"rates (+5.50), credit (+2.31), risk (+1.95)","valuation (-17.03), technology_ai (-2.48), psychology (-0.35)","later memo is materially more constructive / bullish in tone; greater emphasis on rates (+5.50), credit (+2.31), risk (+1.95); less emphasis on valuation (-17.03), technology_ai (-2.48), psychology (-0.35)"
Is It a Bubble?,2025-12-09,AI Hurtles Ahead,2026-02-26,79,0.162,0.5287,alarmed,constructive,forecasting,forecasting,"technology_ai (+9.00), rates (+0.22)","credit (-4.28), valuation (-3.10), risk (-1.78)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on technology_ai (+9.00), rates (+0.22); less emphasis on credit (-4.28), valuation (-3.10), risk (-1.78)"
Getting Lucky,2014-01-16,Dare to Be Great II,2014-04-08,82,0.1616,-0.035,constructive,constructive,forecasting,forecasting,"risk (+10.17), prediction (+3.51), cycles (+0.18)","valuation (-1.73), macro (-0.38), psychology (-0.37)","greater emphasis on risk (+10.17), prediction (+3.51), cycles (+0.18); less emphasis on valuation (-1.73), macro (-0.38), psychology (-0.37)"
"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,473,0.16,0.163,constructive,opportunistic,forecasting,forecasting,"psychology (+7.78), credit (+7.57), macro (+1.30)","prediction (-1.12), uncertainty (-1.12), valuation (-0.60)","stance moves from constructive to opportunistic; greater emphasis on psychology (+7.78), credit (+7.57), macro (+1.30); less emphasis on prediction (-1.12), uncertainty (-1.12), valuation (-0.60)"
The Indispensability of Risk,2024-04-17,The Impact of Debt,2024-05-08,21,0.159,0.0833,humble,opportunistic,warning,warning,"credit (+9.81), cycles (+2.45), psychology (+0.83)","risk (-10.05), valuation (-3.94), prediction (-1.72)","stance moves from humble to opportunistic; greater emphasis on credit (+9.81), cycles (+2.45), psychology (+0.83); less emphasis on risk (-10.05), valuation (-3.94), prediction (-1.72)"
Knowledge of the Future,2020-04-14,Uncertainty,2020-05-11,27,0.1471,-0.5162,constructive,constructive,forecasting,forecasting,"uncertainty (+1.82), prediction (+0.34)","rates (-6.58), politics (-3.66), risk (-2.62)","later memo is materially more defensive / bearish in tone; greater emphasis on uncertainty (+1.82), prediction (+0.34); less emphasis on rates (-6.58), politics (-3.66), risk (-2.62)"
Risk Revisited Again,2015-06-08,It’s Not Easy,2015-09-09,93,0.1461,0.3543,constructive,constructive,warning,warning,"valuation (+4.33), psychology (+0.38), technology_ai (+0.36)","risk (-8.01), prediction (-2.98), rates (-1.03)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+4.33), psychology (+0.38), technology_ai (+0.36); less emphasis on risk (-8.01), prediction (-2.98), rates (-1.03)"
Thinking About Macro,2021-07-29,The Winds of Change,2021-11-23,117,0.1432,0.2882,constructive,constructive,forecasting,forecasting,"politics (+3.82), technology_ai (+2.62), cycles (+0.63)","macro (-19.37), rates (-17.17), prediction (-4.85)","later memo is materially more constructive / bullish in tone; greater emphasis on politics (+3.82), technology_ai (+2.62), cycles (+0.63); less emphasis on macro (-19.37), rates (-17.17), prediction (-4.85)"
The Lessons of Oil,2014-12-18,Liquidity,2015-03-25,97,0.1428,-0.5015,opportunistic,opportunistic,forecasting,forecasting,"risk (+1.44), uncertainty (+0.49), politics (+0.21)","macro (-4.73), psychology (-2.22), rates (-1.73)","later memo is materially more defensive / bearish in tone; greater emphasis on risk (+1.44), uncertainty (+0.49), politics (+0.21); less emphasis on macro (-4.73), psychology (-2.22), rates (-1.73)"
There They Go Again . . . Again,2017-07-26,Yet Again?,2017-09-07,43,0.1403,0.1125,opportunistic,opportunistic,warning,forecasting,"valuation (+2.18), psychology (+0.86), politics (+0.66)","rates (-3.85), credit (-3.75), risk (-3.34)","prediction posture moves from warning to forecasting; greater emphasis on valuation (+2.18), psychology (+0.86), politics (+0.66); less emphasis on rates (-3.85), credit (-3.75), risk (-3.34)"
On the Other Hand,2019-07-26,Mysterious,2019-10-17,83,0.1373,-0.8254,constructive,alarmed,forecasting,forecasting,"credit (+12.53), valuation (+3.15), rates (+0.99)","macro (-5.37), politics (-1.72), prediction (-0.47)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+12.53), valuation (+3.15), rates (+0.99); less emphasis on macro (-5.37), politics (-1.72), prediction (-0.47)"
Further Thoughts on Sea Change,2023-10-11,Easy Money,2024-01-09,90,0.135,0.1145,opportunistic,opportunistic,forecasting,warning,"cycles (+4.54), valuation (+2.62), risk (+2.28)","credit (-2.23), rates (-1.74), macro (-1.04)","prediction posture moves from forecasting to warning; greater emphasis on cycles (+4.54), valuation (+2.62), risk (+2.28); less emphasis on credit (-2.23), rates (-1.74), macro (-1.04)"
Uncertainty,2020-05-11,Uncertainty II,2020-05-28,17,0.1335,-0.5195,constructive,humble,forecasting,forecasting,"risk (+1.16), politics (+0.96), prediction (+0.95)","credit (-2.72), macro (-2.13), rates (-1.05)","stance moves from constructive to humble; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+1.16), politics (+0.96), prediction (+0.95); less emphasis on credit (-2.72), macro (-2.13), rates (-1.05)"
The Realist's Creed,2002-05-31,Quo Vadis?,2002-07-26,56,0.1328,0.0226,constructive,opportunistic,forecasting,forecasting,"macro (+5.79), rates (+3.98), politics (+2.63)","risk (-3.28), cycles (-1.04), technology_ai (-0.74)","stance moves from constructive to opportunistic; greater emphasis on macro (+5.79), rates (+3.98), politics (+2.63); less emphasis on risk (-3.28), cycles (-1.04), technology_ai (-0.74)"
More on Repealing the Laws of Economics,2025-06-18,The Calculus of Value,2025-08-13,56,0.1316,-0.0323,constructive,constructive,forecasting,forecasting,"valuation (+21.63), psychology (+3.92), prediction (+1.45)","politics (-3.67), macro (-2.92), rates (-2.22)","greater emphasis on valuation (+21.63), psychology (+3.92), prediction (+1.45); less emphasis on politics (-3.67), macro (-2.92), rates (-2.22)"
Déjà Vu All Over Again,2012-03-19,It’s All a Big Mistake,2012-06-20,93,0.1311,0.1759,opportunistic,opportunistic,forecasting,warning,"credit (+12.26), valuation (+5.20), risk (+3.25)","macro (-1.65), psychology (-1.52), technology_ai (-0.68)","prediction posture moves from forecasting to warning; greater emphasis on credit (+12.26), valuation (+5.20), risk (+3.25); less emphasis on macro (-1.65), psychology (-1.52), technology_ai (-0.68)"
The Race to the Bottom,2007-02-14,Everyone Knows,2007-04-26,71,0.126,0.2045,constructive,opportunistic,forecasting,forecasting,"valuation (+5.58), risk (+2.69), credit (+1.93)","rates (-2.53), cycles (-0.85)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+5.58), risk (+2.69), credit (+1.93); less emphasis on rates (-2.53), cycles (-0.85)"
The Aviary,2008-05-16,Doesn’t Make Sense,2008-07-31,76,0.1239,0.5936,constructive,opportunistic,warning,forecasting,"valuation (+3.85), credit (+1.36), technology_ai (+0.25)","politics (-4.71), risk (-3.02), cycles (-2.02)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.85), credit (+1.36), technology_ai (+0.25); less emphasis on politics (-4.71), risk (-3.02), cycles (-2.02)"
It’s All Good,2007-07-16,It’s All Good . . . Really?,2007-07-30,14,0.1227,-0.3295,constructive,opportunistic,warning,forecasting,"credit (+4.70), rates (+2.10), macro (+1.71)","cycles (-5.03), risk (-4.52), valuation (-1.78)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+4.70), rates (+2.10), macro (+1.71); less emphasis on cycles (-5.03), risk (-4.52), valuation (-1.78)"
Etorre's Wisdom,2002-09-04,Returns and How They Get That Way,2002-11-11,68,0.1215,0.1944,constructive,opportunistic,forecasting,forecasting,"valuation (+16.79), macro (+3.49), psychology (+0.75)","technology_ai (-0.55), credit (-0.28), uncertainty (-0.28)","stance moves from constructive to opportunistic; greater emphasis on valuation (+16.79), macro (+3.49), psychology (+0.75); less emphasis on technology_ai (-0.55), credit (-0.28), uncertainty (-0.28)"
Political Reality Meets Economic Reality,2019-01-30,Growing the Pie,2019-04-01,61,0.1188,-0.1101,constructive,opportunistic,forecasting,forecasting,"risk (+0.85), psychology (+0.32), technology_ai (+0.16)","politics (-3.56), macro (-1.04), valuation (-0.90)","stance moves from constructive to opportunistic; greater emphasis on risk (+0.85), psychology (+0.32), technology_ai (+0.16); less emphasis on politics (-3.56), macro (-1.04), valuation (-0.90)"
Returns and How They Get That Way,2002-11-11,Whad’Ya Know?,2003-03-11,120,0.1147,0.0931,opportunistic,opportunistic,forecasting,forecasting,"credit (+6.26), rates (+1.38), prediction (+1.30)","valuation (-16.92), macro (-0.73), risk (-0.48)","greater emphasis on credit (+6.26), rates (+1.38), prediction (+1.30); less emphasis on valuation (-16.92), macro (-0.73), risk (-0.48)"
What Lies Ahead?,2001-10-04,You Can't Predict. You Can Prepare.,2001-11-20,47,0.1135,0.2053,opportunistic,constructive,forecasting,forecasting,"cycles (+9.83), credit (+3.20), technology_ai (+2.15)","politics (-2.44), uncertainty (-2.01), rates (-1.10)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on cycles (+9.83), credit (+3.20), technology_ai (+2.15); less emphasis on politics (-2.44), uncertainty (-2.01), rates (-1.10)"
Bull Market Rhymes,2022-05-26,Conversation at Panmure House,2022-06-23,28,0.1084,0.4745,opportunistic,constructive,warning,warning,"credit (+2.55), cycles (+1.41), prediction (+0.38)","psychology (-4.61), technology_ai (-1.95), rates (-1.69)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+2.55), cycles (+1.41), prediction (+0.38); less emphasis on psychology (-4.61), technology_ai (-1.95), rates (-1.69)"
Political Reality,2016-08-17,Implications of the Election,2016-11-07,82,0.1054,-0.4,constructive,constructive,forecasting,forecasting,"politics (+8.84), cycles (+1.13), psychology (+0.88)","macro (-2.96), valuation (-1.61), rates (-0.71)","later memo is materially more defensive / bearish in tone; greater emphasis on politics (+8.84), cycles (+1.13), psychology (+0.88); less emphasis on macro (-2.96), valuation (-1.61), rates (-0.71)"
Yet Again?,2017-09-07,Latest Thinking,2018-01-23,138,0.099,-0.1339,opportunistic,constructive,forecasting,forecasting,"macro (+11.22), rates (+9.78), politics (+1.44)","valuation (-4.77), cycles (-0.93), technology_ai (-0.40)","stance moves from opportunistic to constructive; greater emphasis on macro (+11.22), rates (+9.78), politics (+1.44); less emphasis on valuation (-4.77), cycles (-0.93), technology_ai (-0.40)"
Plan B,2008-09-24,The Limits to Negativism,2008-10-15,21,0.0988,-0.2986,constructive,alarmed,forecasting,forecasting,"psychology (+5.60), cycles (+1.99), rates (+1.48)","valuation (-3.22), credit (-2.01), politics (-1.25)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on psychology (+5.60), cycles (+1.99), rates (+1.48); less emphasis on valuation (-3.22), credit (-2.01), politics (-1.25)"
Latest Thinking,2018-01-23,Investing Without People,2018-06-18,146,0.095,0.3366,constructive,opportunistic,forecasting,forecasting,"valuation (+2.46), credit (+1.75)","macro (-10.73), rates (-9.78), risk (-2.94)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+2.46), credit (+1.75); less emphasis on macro (-10.73), rates (-9.78), risk (-2.94)"
Nobody Knows (Yet Again),2025-04-09,More on Repealing the Laws of Economics,2025-06-18,70,0.0945,0.3082,constructive,constructive,forecasting,forecasting,"valuation (+3.00), politics (+2.21), macro (+2.13)","uncertainty (-3.12), prediction (-1.77), credit (-0.59)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.00), politics (+2.21), macro (+2.13); less emphasis on uncertainty (-3.12), prediction (-1.77), credit (-0.59)"
Go Figure!,2026-03-24,This Time It’s Different,2026-03-24,0,0.0942,-0.5476,constructive,alarmed,forecasting,forecasting,"rates (+6.74), macro (+5.95), credit (+4.55)","politics (-5.27), prediction (-3.63), uncertainty (-0.31)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+6.74), macro (+5.95), credit (+4.55); less emphasis on politics (-5.27), prediction (-3.63), uncertainty (-0.31)"
Quo Vadis?,2002-07-26,Etorre's Wisdom,2002-09-04,40,0.0928,0.0893,opportunistic,constructive,forecasting,forecasting,"risk (+2.40), technology_ai (+0.68), uncertainty (+0.15)","macro (-8.26), rates (-4.88), politics (-2.63)","stance moves from opportunistic to constructive; greater emphasis on risk (+2.40), technology_ai (+0.68), uncertainty (+0.15); less emphasis on macro (-8.26), rates (-4.88), politics (-2.63)"
Conversation at Panmure House,2022-06-23,I Beg to Differ,2022-07-26,33,0.0915,-0.0222,constructive,constructive,warning,forecasting,"valuation (+0.32), technology_ai (+0.24)","cycles (-5.02), credit (-2.81), psychology (-1.97)","prediction posture moves from warning to forecasting; greater emphasis on valuation (+0.32), technology_ai (+0.24); less emphasis on cycles (-5.02), credit (-2.81), psychology (-1.97)"
Implications of the Election,2016-11-07,Expert Opinion,2017-01-10,64,0.088,-0.2429,constructive,constructive,forecasting,forecasting,"rates (+5.93), valuation (+1.48), credit (+0.92)","politics (-9.33), risk (-0.71), technology_ai (-0.57)","later memo is materially more defensive / bearish in tone; greater emphasis on rates (+5.93), valuation (+1.48), credit (+0.92); less emphasis on politics (-9.33), risk (-0.71), technology_ai (-0.57)"
The Anatomy of a Rally,2020-06-18,Time for Thinking,2020-08-05,48,0.0851,-0.1639,constructive,constructive,forecasting,forecasting,"macro (+7.15), credit (+2.58), technology_ai (+1.94)","valuation (-2.87), risk (-1.31), rates (-0.96)","greater emphasis on macro (+7.15), credit (+2.58), technology_ai (+1.94); less emphasis on valuation (-2.87), risk (-1.31), rates (-0.96)"
Notes from New York,2001-09-16,What Lies Ahead?,2001-10-04,18,0.0749,0.2709,constructive,opportunistic,forecasting,forecasting,"macro (+9.36), rates (+4.68), uncertainty (+2.01)","risk (-3.15), technology_ai (-0.41)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+9.36), rates (+4.68), uncertainty (+2.01); less emphasis on risk (-3.15), technology_ai (-0.41)"
Expert Opinion,2017-01-10,Lines in the Sand,2017-04-18,98,0.0746,0.2679,constructive,constructive,forecasting,forecasting,"valuation (+5.18), risk (+0.58), credit (+0.18)","politics (-5.93), rates (-3.93), macro (-3.39)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+5.18), risk (+0.58), credit (+0.18); less emphasis on politics (-5.93), rates (-3.93), macro (-3.39)"
Nobody Knows,2008-09-19,Plan B,2008-09-24,5,0.0742,0.142,constructive,constructive,forecasting,forecasting,"politics (+3.43), credit (+1.61), macro (+0.70)","cycles (-5.07), risk (-2.24), psychology (-1.23)","greater emphasis on politics (+3.43), credit (+1.61), macro (+0.70); less emphasis on cycles (-5.07), risk (-2.24), psychology (-1.23)"
Everyone Knows,2007-04-26,It’s All Good,2007-07-16,81,0.0723,-0.4129,opportunistic,constructive,forecasting,warning,"cycles (+7.92), psychology (+2.67), macro (+1.03)","valuation (-7.55), credit (-4.72), rates (-1.55)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on cycles (+7.92), psychology (+2.67), macro (+1.03); less emphasis on valuation (-7.55), credit (-4.72), rates (-1.55)"
The Tide Goes Out,2008-03-18,The Aviary,2008-05-16,59,0.0682,-0.3713,constructive,constructive,warning,warning,"politics (+4.87), macro (+1.01), rates (+0.89)","valuation (-4.77), risk (-2.42), cycles (-0.98)","later memo is materially more defensive / bearish in tone; greater emphasis on politics (+4.87), macro (+1.01), rates (+0.89); less emphasis on valuation (-4.77), risk (-2.42), cycles (-0.98)"
So Much That’s False and Nutty,2009-07-08,Touchstones,2009-11-10,125,0.0641,-0.0606,alarmed,alarmed,warning,warning,"rates (+2.39), macro (+2.16), politics (+1.82)","credit (-6.52), risk (-3.25), valuation (-1.58)","greater emphasis on rates (+2.39), macro (+2.16), politics (+1.82); less emphasis on credit (-6.52), risk (-3.25), valuation (-1.58)"
Risk in Today's Markets,1994-02-17,'Risk in Today's Markets' Revisited,1994-04-11,53,0.0579,0.6818,cautious,opportunistic,warning,warning,"cycles (+1.61), prediction (+1.07), politics (+0.54)","risk (-5.04), rates (-3.26), valuation (-1.99)","stance moves from cautious to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on cycles (+1.61), prediction (+1.07), politics (+0.54); less emphasis on risk (-5.04), rates (-3.26), valuation (-1.99)"
Dare to Be Great,2006-09-07,The New Paradigm,2006-10-19,42,0.0545,-0.0929,constructive,opportunistic,forecasting,forecasting,"valuation (+4.74), rates (+4.41), credit (+4.33)","technology_ai (-0.95), macro (-0.47), politics (-0.23)","stance moves from constructive to opportunistic; greater emphasis on valuation (+4.74), rates (+4.41), credit (+4.33); less emphasis on technology_ai (-0.95), macro (-0.47), politics (-0.23)"
Economic Reality,2016-05-26,Political Reality,2016-08-17,83,0.0521,0.3611,constructive,constructive,forecasting,forecasting,"politics (+3.60), psychology (+0.54), risk (+0.36)","macro (-2.76), rates (-1.76), credit (-0.87)","later memo is materially more constructive / bullish in tone; greater emphasis on politics (+3.60), psychology (+0.54), risk (+0.36); less emphasis on macro (-2.76), rates (-1.76), credit (-0.87)"
Learning From Enron,2002-03-14,The Realist's Creed,2002-05-31,78,0.0441,-0.5181,constructive,constructive,forecasting,forecasting,"valuation (+2.87), macro (+2.10), cycles (+1.79)","credit (-1.48), politics (-0.73)","later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+2.87), macro (+2.10), cycles (+1.79); less emphasis on credit (-1.48), politics (-0.73)"
Whodunit,2008-02-20,The Tide Goes Out,2008-03-18,27,0.0362,0.3472,constructive,constructive,warning,warning,"valuation (+3.81), cycles (+3.03), politics (+1.31)","rates (-4.81), credit (-0.95), risk (-0.66)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.81), cycles (+3.03), politics (+1.31); less emphasis on rates (-4.81), credit (-0.95), risk (-0.66)"
Now It’s All Bad?,2007-09-10,No Different This Time – The Lessons of ‘07,2007-12-17,98,0.0315,-0.1603,constructive,constructive,warning,warning,"valuation (+4.95), risk (+2.26), prediction (+1.59)","credit (-4.36), cycles (-2.15), psychology (-1.32)","greater emphasis on valuation (+4.95), risk (+2.26), prediction (+1.59); less emphasis on credit (-4.36), cycles (-2.15), psychology (-1.32)"
Nobody Knows II,2020-03-03,Latest Update,2020-03-19,16,0.0309,-0.0714,constructive,alarmed,forecasting,forecasting,"risk (+3.15), credit (+1.90), technology_ai (+0.44)","macro (-8.14), rates (-3.77), valuation (-1.93)","stance moves from constructive to alarmed; greater emphasis on risk (+3.15), credit (+1.90), technology_ai (+0.44); less emphasis on macro (-8.14), rates (-3.77), valuation (-1.93)"
Latest Update,2020-03-19,Which Way Now?,2020-03-31,12,0.0208,0.1464,alarmed,constructive,forecasting,forecasting,"macro (+5.74), politics (+3.10), valuation (+2.79)","rates (-2.83), credit (-1.03), risk (-0.73)","stance moves from alarmed to constructive; greater emphasis on macro (+5.74), politics (+3.10), valuation (+2.79); less emphasis on rates (-2.83), credit (-1.03), risk (-0.73)"
